error,deltaError,fuzzy_control,sensor_0,sensor_1,sensor_2,sensor_3,motor_L,motor_R
12.70,10.67,1.24,69.29,67.83,87.30,70.53,6.28,5.66
11.10,-1.60,-2.21,67.94,63.87,88.90,60.21,5.17,6.28
5.26,-5.84,-3.12,62.88,63.76,94.74,68.48,4.72,6.28
0.17,-5.08,-3.12,63.31,62.74,99.83,64.81,4.72,6.28
-4.21,-4.38,-3.13,70.49,66.67,104.21,70.69,4.72,6.28
-3.18,1.03,-1.04,65.58,65.83,103.18,66.85,5.76,6.28
0.17,3.36,-0.02,61.35,72.74,99.83,67.94,6.27,6.28
-5.01,-5.19,-3.14,68.01,68.51,105.01,66.48,4.71,6.28
5.83,10.84,1.32,69.60,65.32,94.17,69.96,6.28,5.62
-10.63,-16.46,-3.21,64.79,74.41,110.63,67.96,4.67,6.28
-3.60,7.03,-0.36,63.61,65.78,103.60,63.95,6.10,6.28
-0.61,2.99,-0.08,68.33,62.00,100.61,73.33,6.24,6.28
-7.31,-6.70,-3.16,69.04,66.00,107.31,67.74,4.70,6.28
0.05,7.36,-0.03,67.25,64.55,99.95,66.86,6.26,6.28
-6.18,-6.23,-3.15,68.62,62.29,106.18,63.07,4.71,6.28
-5.13,1.05,-1.05,70.94,68.48,105.13,67.15,5.76,6.28
-9.20,-4.07,-3.19,66.78,64.43,109.20,67.02,4.69,6.28
-11.00,-1.80,-2.41,68.28,63.82,111.00,58.75,5.07,6.28
-11.96,-0.96,-2.04,73.94,72.71,111.96,72.09,5.26,6.28
-7.64,4.32,-0.66,72.18,65.43,107.64,69.33,5.95,6.28
-8.24,-0.61,-1.82,63.41,66.35,108.24,65.44,5.37,6.28
-10.24,-2.00,-2.50,66.28,72.79,110.24,65.41,5.03,6.28
-8.68,1.57,-0.86,72.57,68.40,108.68,69.45,5.85,6.28
-9.30,-0.63,-1.84,63.69,67.14,109.30,64.50,5.36,6.28
-6.30,3.01,-0.53,71.26,70.86,106.30,65.47,6.01,6.28
-7.08,-0.78,-1.88,65.74,63.57,107.08,69.81,5.34,6.28
-9.96,-2.88,-3.08,59.12,67.32,109.96,73.77,4.74,6.28
-4.21,5.75,-0.50,64.19,70.59,104.21,66.23,6.03,6.28
-8.85,-4.64,-3.18,74.04,65.72,108.85,67.44,4.69,6.28
-4.13,4.72,-0.43,68.05,70.28,104.13,69.70,6.06,6.28
-5.37,-1.24,-2.06,67.19,65.64,105.37,66.78,5.25,6.28
-5.41,-0.04,-1.53,68.30,68.67,105.41,66.92,5.51,6.28
-8.44,-3.03,-3.18,63.34,64.78,108.44,67.90,4.69,6.28
-8.26,0.18,-1.49,67.06,66.26,108.26,69.04,5.54,6.28
-4.54,3.72,-0.42,66.96,73.14,104.54,66.87,6.07,6.28
-8.78,-4.24,-3.18,68.89,69.04,108.78,65.05,4.69,6.28
-5.37,3.40,-0.47,70.02,71.71,105.37,67.94,6.05,6.28
-1.80,3.58,-0.19,65.13,68.74,101.80,70.39,6.18,6.28
-0.79,1.01,-1.04,62.22,67.92,100.79,70.00,5.76,6.28
-6.41,-5.62,-3.15,68.57,65.31,106.41,57.35,4.71,6.28
-3.93,2.48,-0.36,62.74,67.96,103.93,64.42,6.10,6.28
-7.47,-3.54,-3.16,68.65,65.65,107.47,63.78,4.70,6.28
1.30,8.77,0.19,63.61,73.87,98.70,66.01,6.28,6.18
-3.97,-5.26,-3.13,67.29,61.85,103.97,62.43,4.72,6.28
-9.26,-5.29,-3.19,69.15,69.41,109.26,66.11,4.69,6.28
0.23,9.49,0.66,70.16,67.71,99.77,67.81,6.28,5.95
-0.66,-0.89,-1.88,64.34,74.68,100.66,68.46,5.34,6.28
1.82,2.48,-0.19,69.94,71.05,98.18,65.86,6.19,6.28
-1.71,-3.54,-3.12,64.35,68.85,101.71,68.05,4.72,6.28
-4.67,-2.96,-3.09,68.56,67.49,104.67,66.58,4.74,6.28
-6.06,-1.40,-2.14,60.98,67.40,106.06,66.56,5.21,6.28
6.06,12.12,1.87,67.24,68.14,93.94,61.33,6.28,5.34
6.13,0.08,-1.46,71.49,71.20,93.87,71.11,5.55,6.28
4.73,-1.40,-2.11,66.85,67.25,95.27,64.03,5.22,6.28
7.76,3.03,0.21,67.86,66.32,92.24,63.29,6.28,6.18
6.20,-1.55,-2.19,65.25,64.69,93.80,66.06,5.19,6.28
-0.30,-6.50,-3.12,68.59,63.19,100.30,68.76,4.72,6.28
3.15,3.45,0.22,69.46,72.35,96.85,68.36,6.28,6.17
8.61,5.46,0.77,72.87,67.58,91.39,65.99,6.28,5.89
-0.64,-9.26,-3.12,74.48,64.11,100.64,66.91,4.72,6.28
3.63,4.27,0.28,62.00,66.04,96.37,72.75,6.28,6.14
2.93,-0.70,-1.79,66.52,67.34,97.07,64.89,5.38,6.28
-3.40,-6.33,-3.12,65.91,67.34,103.40,66.35,4.72,6.28
-6.68,-3.28,-3.15,70.65,63.59,106.68,68.89,4.70,6.28
-8.90,-2.22,-2.60,72.82,72.27,108.90,62.16,4.98,6.28
-12.11,-3.21,-3.24,63.25,61.11,112.11,68.37,4.66,6.28
-8.59,3.52,-0.68,65.86,70.59,108.59,67.09,5.94,6.28
-5.78,2.81,-0.50,66.00,65.75,105.78,64.69,6.03,6.28
1.19,6.97,0.06,73.90,69.89,98.81,62.21,6.28,6.25
-2.55,-3.74,-3.12,68.99,73.20,102.55,64.81,4.72,6.28
1.83,4.37,0.12,70.00,62.06,98.17,68.99,6.28,6.22
-6.50,-8.32,-3.15,60.68,68.10,106.50,60.24,4.70,6.28
-2.08,4.41,-0.24,66.80,68.81,102.08,64.54,6.16,6.28
0.96,3.05,0.03,66.28,69.73,99.04,67.52,6.28,6.26
-3.02,-3.98,-3.12,74.29,71.77,103.02,72.52,4.72,6.28
-2.21,0.81,-1.14,66.06,65.69,102.21,59.75,5.71,6.28
-3.41,-1.20,-2.02,67.15,66.94,103.41,64.84,5.27,6.28
-7.40,-3.99,-3.16,65.03,71.97,107.40,71.49,4.70,6.28
-4.41,2.99,-0.40,72.95,71.26,104.41,60.05,6.08,6.28
-11.41,-7.01,-3.23,59.61,67.83,111.41,72.08,4.67,6.28
-4.64,6.77,-0.46,61.27,63.54,104.64,67.29,6.05,6.28
-12.42,-7.78,-3.25,66.62,68.00,112.42,66.22,4.66,6.28
-8.23,4.20,-0.69,67.34,62.64,108.23,70.09,5.94,6.28
-1.65,6.57,-0.20,66.79,64.28,101.65,74.91,6.18,6.28
2.02,3.67,0.13,65.11,67.30,97.98,67.72,6.28,6.22
-5.94,-7.96,-3.14,65.25,69.54,105.94,72.60,4.71,6.28
-4.92,1.02,-1.06,67.12,73.66,104.92,65.67,5.75,6.28
0.22,5.14,-0.02,70.62,62.21,99.78,64.48,6.27,6.28
-2.72,-2.94,-3.06,67.89,62.06,102.72,63.19,4.75,6.28
-8.56,-5.84,-3.18,63.57,71.76,108.56,64.45,4.69,6.28
-8.72,-0.17,-1.64,66.70,66.03,108.72,62.98,5.46,6.28
-7.90,0.82,-1.20,65.41,63.78,107.90,66.78,5.68,6.28
-6.06,1.84,-0.65,66.53,63.93,106.06,69.14,5.95,6.28
-9.43,-3.37,-3.19,70.41,62.89,109.43,69.12,4.68,6.28
-14.71,-5.28,-3.29,72.71,64.70,114.71,66.49,4.63,6.28
-9.32,5.39,-0.87,66.84,67.55,109.32,66.22,5.84,6.28
-4.65,4.67,-0.47,69.89,63.64,104.65,61.03,6.04,6.28
-3.66,0.99,-1.06,64.71,68.43,103.66,70.26,5.75,6.28
-0.95,2.71,-0.11,73.27,62.17,100.95,67.09,6.22,6.28
-7.89,-6.94,-3.17,66.94,65.01,107.89,63.23,4.70,6.28
-7.26,0.63,-1.27,64.59,65.60,107.26,63.10,5.64,6.28
-5.59,1.67,-0.74,63.94,66.61,105.59,65.68,5.91,6.28
-8.89,-3.30,-3.18,70.17,68.93,108.89,71.39,4.69,6.28
-3.90,4.99,-0.43,67.35,69.51,103.90,63.13,6.07,6.28
0.14,4.04,-0.02,68.72,74.47,99.86,71.76,6.27,6.28
-6.55,-6.70,-3.15,63.50,58.91,106.55,65.46,4.70,6.28
-10.02,-3.46,-3.20,69.39,65.73,110.02,64.38,4.68,6.28
-8.82,1.20,-1.04,61.52,66.10,108.82,67.25,5.76,6.28
-4.64,4.18,-0.44,65.92,67.31,104.64,66.42,6.06,6.28
-5.92,-1.28,-2.09,66.18,64.12,105.92,70.06,5.24,6.28
-5.41,0.52,-1.29,62.26,68.67,105.41,66.04,5.63,6.28
-2.17,3.24,-0.22,63.77,66.92,102.17,65.95,6.17,6.28
-5.27,-3.10,-3.14,65.20,67.58,105.27,63.76,4.71,6.28
-7.43,-2.16,-2.56,70.20,66.71,107.43,71.98,5.00,6.28
-5.30,2.13,-0.49,67.66,67.60,105.30,69.22,6.03,6.28
-8.09,-2.79,-2.98,65.30,68.33,108.09,67.55,4.79,6.28
-4.20,3.89,-0.40,64.87,68.59,104.20,63.11,6.08,6.28
-5.46,-1.26,-2.07,69.36,71.79,105.46,65.76,5.25,6.28
-7.15,-1.68,-2.30,65.74,65.18,107.15,67.15,5.13,6.28
-1.53,5.62,-0.22,71.10,66.21,101.53,64.48,6.17,6.28
1.60,3.13,0.08,63.35,68.30,98.40,66.23,6.28,6.24
-0.34,-1.95,-2.39,69.60,65.50,100.34,64.67,5.08,6.28
-9.08,-8.74,-3.19,70.07,65.66,109.08,69.36,4.69,6.28
-2.43,6.65,-0.28,68.17,61.75,102.43,60.07,6.14,6.28
-7.80,-5.37,-3.17,68.30,69.76,107.80,61.90,4.70,6.28
-4.87,2.93,-0.43,71.23,65.35,104.87,65.86,6.06,6.28
-0.29,4.58,-0.07,69.42,65.48,100.29,69.03,6.25,6.28
-1.79,-1.50,-2.16,72.69,70.77,101.79,65.94,5.20,6.28
-0.39,1.40,-0.85,68.05,68.36,100.39,67.74,5.86,6.28
-3.65,-3.27,-3.12,66.64,67.75,103.65,66.66,4.72,6.28
-9.84,-6.18,-3.20,71.48,61.27,109.84,69.79,4.68,6.28
-8.63,1.21,-1.03,66.79,71.73,108.63,68.38,5.76,6.28
3.17,11.81,1.73,63.49,62.94,96.83,58.37,6.28,5.41
-2.81,-5.98,-3.12,64.55,68.87,102.81,72.76,4.72,6.28
-1.81,1.00,-1.04,68.31,64.16,101.81,69.70,5.76,6.28
-0.25,1.56,-0.76,71.91,66.79,100.25,73.99,5.90,6.28
-1.93,-1.68,-2.25,66.27,63.62,101.93,67.69,5.15,6.28
-0.39,1.53,-0.78,69.09,64.45,100.39,67.24,5.89,6.28
1.73,2.12,-0.44,64.90,68.60,98.27,68.74,6.06,6.28
-7.63,-9.35,-3.17,72.11,74.53,107.63,62.56,4.70,6.28
-3.52,4.11,-0.35,58.67,69.73,103.52,66.24,6.10,6.28
-12.71,-9.19,-3.25,69.12,68.45,112.71,66.85,4.65,6.28
-0.62,12.09,1.86,68.10,70.07,100.62,64.28,6.28,5.35
-4.17,-3.56,-3.13,59.54,65.94,104.17,62.95,4.72,6.28
3.26,7.43,0.24,66.18,69.47,96.74,67.64,6.28,6.16
-4.31,-7.57,-3.13,67.72,68.19,104.31,67.77,4.72,6.28
-15.23,-10.92,-3.30,66.46,69.09,115.23,63.50,4.63,6.28
-11.57,3.66,-0.86,70.11,67.44,111.57,68.75,5.85,6.28
-4.91,6.66,-0.49,56.67,66.81,104.91,74.41,6.04,6.28
-13.38,-8.47,-3.26,62.22,68.70,113.38,69.53,4.65,6.28
-9.32,4.05,-0.74,66.98,67.42,109.32,68.77,5.91,6.28
-16.13,-6.80,-3.32,63.36,68.98,116.13,68.35,4.62,6.28
-15.14,0.98,-1.30,65.11,67.07,115.14,62.24,5.63,6.28
-15.27,-0.13,-1.76,63.16,69.24,115.27,65.10,5.40,6.28
-14.74,0.53,-1.48,68.59,67.72,114.74,66.67,5.54,6.28
-16.84,-2.10,-2.65,68.07,69.40,116.84,62.36,4.96,6.28
-14.68,2.16,-1.06,63.71,73.01,114.68,64.51,5.75,6.28
-10.46,4.21,-0.81,68.59,64.84,110.46,67.13,5.87,6.28
-14.51,-4.05,-3.29,67.60,66.21,114.51,71.89,4.64,6.28
-9.03,5.48,-0.87,66.49,60.17,109.03,72.15,5.85,6.28
-12.54,-3.51,-3.25,69.22,69.78,112.54,65.65,4.66,6.28
-8.52,4.02,-0.69,71.95,65.24,108.52,71.23,5.93,6.28
-11.34,-2.82,-3.05,66.28,69.77,111.34,69.13,4.75,6.28
-8.28,3.06,-0.66,70.04,58.77,108.28,69.33,5.95,6.28
-7.39,0.89,-1.16,64.57,68.05,107.39,68.56,5.70,6.28
-3.17,4.21,-0.33,66.14,67.04,103.17,65.30,6.12,6.28
-5.59,-2.41,-2.69,64.72,69.80,105.59,66.99,4.94,6.28
-6.50,-0.91,-1.93,69.22,67.63,106.50,68.11,5.32,6.28
-2.87,3.63,-0.29,66.56,68.18,102.87,75.03,6.14,6.28
-7.69,-4.82,-3.17,63.94,64.55,107.69,64.21,4.70,6.28
-7.33,0.36,-1.39,70.86,69.39,107.33,66.78,5.58,6.28
-7.50,-0.17,-1.62,64.82,73.57,107.50,68.04,5.47,6.28
-7.47,0.03,-1.53,70.23,70.44,107.47,61.30,5.51,6.28
-5.49,1.98,-0.56,63.35,69.80,105.49,64.73,6.00,6.28
-3.17,2.31,-0.32,68.87,61.68,103.17,70.96,6.12,6.28
-6.22,-3.05,-3.15,66.14,70.21,106.22,69.51,4.71,6.28
-4.90,1.32,-0.91,66.09,63.52,104.90,63.04,5.82,6.28
-4.39,0.51,-1.28,74.45,62.00,104.39,73.81,5.64,6.28
-6.78,-2.39,-2.68,67.00,68.26,106.78,66.55,4.94,6.28
-3.01,3.77,-0.30,70.75,68.02,103.01,67.79,6.13,6.28
-5.86,-2.84,-3.00,67.89,66.42,105.86,70.90,4.78,6.28
-7.66,-1.80,-2.37,66.85,72.91,107.66,68.50,5.10,6.28
-11.04,-3.38,-3.22,65.96,68.70,111.04,67.88,4.67,6.28
-10.36,0.68,-1.31,63.12,63.43,110.36,69.16,5.62,6.28
-7.46,2.90,-0.61,64.56,66.18,107.46,72.45,5.97,6.28
-5.24,2.22,-0.48,70.28,65.23,105.24,70.18,6.04,6.28
3.55,8.79,0.25,69.72,62.23,96.45,62.27,6.28,6.15
5.45,1.91,-0.57,69.06,68.62,94.55,68.48,6.00,6.28
-3.94,-9.40,-3.13,71.22,68.32,103.94,67.51,4.72,6.28
2.70,6.64,0.21,62.44,69.85,97.30,67.86,6.28,6.18
-2.35,-5.06,-3.12,67.92,62.82,102.35,61.35,4.72,6.28
-4.13,-1.77,-2.31,61.26,63.21,104.13,70.15,5.12,6.28
-0.63,3.49,-0.09,65.22,70.00,100.63,63.05,6.24,6.28
2.49,3.12,0.16,66.65,69.30,97.51,67.21,6.28,6.20
6.19,3.70,0.46,65.69,70.43,93.81,72.51,6.28,6.05
-0.65,-6.85,-3.12,65.86,66.63,100.65,67.87,4.72,6.28
1.01,1.67,-0.71,60.60,76.00,98.99,69.21,5.93,6.28
-8.46,-9.47,-3.18,69.10,69.69,108.46,60.51,4.69,6.28
-7.05,1.41,-0.90,64.30,65.35,107.05,70.65,5.83,6.28
-2.49,4.55,-0.28,66.40,70.52,102.49,68.11,6.14,6.28
